benchmark,warmup_iter,iter,category,pattern,correctness,name,command,duration,lines,env
linux_literal_default,1,3,literal,PM_RESUME,exact,rg,rg PM_RESUME,0.10068464279174805,39,
linux_literal_default,1,3,literal,PM_RESUME,exact,rg,rg PM_RESUME,0.07355189323425293,39,
linux_literal_default,1,3,literal,PM_RESUME,exact,rg,rg PM_RESUME,0.06997871398925781,39,
linux_literal_default,1,3,literal,PM_RESUME,exact,sift,/home/botirk/repos/sift/benchsuite/../target/release/sift --sift-dir /home/botirk/repos/sift/benchsuite/linux.sift PM_RESUME,0.012664318084716797,39,
linux_literal_default,1,3,literal,PM_RESUME,exact,sift,/home/botirk/repos/sift/benchsuite/../target/release/sift --sift-dir /home/botirk/repos/sift/benchsuite/linux.sift PM_RESUME,0.012378215789794922,39,
linux_literal_default,1,3,literal,PM_RESUME,exact,sift,/home/botirk/repos/sift/benchsuite/../target/release/sift --sift-dir /home/botirk/repos/sift/benchsuite/linux.sift PM_RESUME,0.012547492980957031,39,
linux_literal,1,3,unknown,PM_RESUME,exact,rg,rg -n PM_RESUME,0.07468938827514648,39,
linux_literal,1,3,unknown,PM_RESUME,exact,rg,rg -n PM_RESUME,0.07223296165466309,39,
linux_literal,1,3,unknown,PM_RESUME,exact,rg,rg -n PM_RESUME,0.07357645034790039,39,
linux_literal,1,3,unknown,PM_RESUME,exact,sift,/home/botirk/repos/sift/benchsuite/../target/release/sift --sift-dir /home/botirk/repos/sift/benchsuite/linux.sift -n PM_RESUME,0.012522697448730469,39,
linux_literal,1,3,unknown,PM_RESUME,exact,sift,/home/botirk/repos/sift/benchsuite/../target/release/sift --sift-dir /home/botirk/repos/sift/benchsuite/linux.sift -n PM_RESUME,0.01227116584777832,39,
linux_literal,1,3,unknown,PM_RESUME,exact,sift,/home/botirk/repos/sift/benchsuite/../target/release/sift --sift-dir /home/botirk/repos/sift/benchsuite/linux.sift -n PM_RESUME,0.012052059173583984,39,
linux_literal_casei,1,3,casei,PM_RESUME,exact,rg,rg -n PM_RESUME,0.07419013977050781,39,
linux_literal_casei,1,3,casei,PM_RESUME,exact,rg,rg -n PM_RESUME,0.06947779655456543,39,
linux_literal_casei,1,3,casei,PM_RESUME,exact,rg,rg -n PM_RESUME,0.07139039039611816,39,
linux_literal_casei,1,3,casei,PM_RESUME,exact,sift,/home/botirk/repos/sift/benchsuite/../target/release/sift --sift-dir /home/botirk/repos/sift/benchsuite/linux.sift -n PM_RESUME,0.012603282928466797,39,
linux_literal_casei,1,3,casei,PM_RESUME,exact,sift,/home/botirk/repos/sift/benchsuite/../target/release/sift --sift-dir /home/botirk/repos/sift/benchsuite/linux.sift -n PM_RESUME,0.013109683990478516,39,
linux_literal_casei,1,3,casei,PM_RESUME,exact,sift,/home/botirk/repos/sift/benchsuite/../target/release/sift --sift-dir /home/botirk/repos/sift/benchsuite/linux.sift -n PM_RESUME,0.013274192810058594,39,
linux_re_literal_suffix,1,3,required_literal,[A-Z]+_RESUME,exact,rg,rg -n [A-Z]+_RESUME,0.07551312446594238,2160,
linux_re_literal_suffix,1,3,required_literal,[A-Z]+_RESUME,exact,rg,rg -n [A-Z]+_RESUME,0.0702509880065918,2160,
linux_re_literal_suffix,1,3,required_literal,[A-Z]+_RESUME,exact,rg,rg -n [A-Z]+_RESUME,0.07095479965209961,2160,
linux_re_literal_suffix,1,3,required_literal,[A-Z]+_RESUME,exact,sift,/home/botirk/repos/sift/benchsuite/../target/release/sift --sift-dir /home/botirk/repos/sift/benchsuite/linux.sift -n [A-Z]+_RESUME,0.014606714248657227,2160,
linux_re_literal_suffix,1,3,required_literal,[A-Z]+_RESUME,exact,sift,/home/botirk/repos/sift/benchsuite/../target/release/sift --sift-dir /home/botirk/repos/sift/benchsuite/linux.sift -n [A-Z]+_RESUME,0.014360904693603516,2160,
linux_re_literal_suffix,1,3,required_literal,[A-Z]+_RESUME,exact,sift,/home/botirk/repos/sift/benchsuite/../target/release/sift --sift-dir /home/botirk/repos/sift/benchsuite/linux.sift -n [A-Z]+_RESUME,0.014594316482543945,2160,
linux_word,1,3,word,PM_RESUME,exact,rg,rg -n -w PM_RESUME,0.07196688652038574,9,
linux_word,1,3,word,PM_RESUME,exact,rg,rg -n -w PM_RESUME,0.07240080833435059,9,
linux_word,1,3,word,PM_RESUME,exact,rg,rg -n -w PM_RESUME,0.07158184051513672,9,
linux_word,1,3,word,PM_RESUME,exact,sift,/home/botirk/repos/sift/benchsuite/../target/release/sift --sift-dir /home/botirk/repos/sift/benchsuite/linux.sift -n -w PM_RESUME,0.012971639633178711,9,
linux_word,1,3,word,PM_RESUME,exact,sift,/home/botirk/repos/sift/benchsuite/../target/release/sift --sift-dir /home/botirk/repos/sift/benchsuite/linux.sift -n -w PM_RESUME,0.01244974136352539,9,
linux_word,1,3,word,PM_RESUME,exact,sift,/home/botirk/repos/sift/benchsuite/../target/release/sift --sift-dir /home/botirk/repos/sift/benchsuite/linux.sift -n -w PM_RESUME,0.013291120529174805,9,
linux_unicode_greek,1,3,unicode,\p{Greek},exact,rg,rg -n \p{Greek},0.20438814163208008,105,
linux_unicode_greek,1,3,unicode,\p{Greek},exact,rg,rg -n \p{Greek},0.20441675186157227,105,
